strategy_id,token_symbol,token_address,entry_price,exit_price,pnl_percent,profit,fees_paid,duration_seconds,exit_reason,entry_confidence,timestamp
Bot_025,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,7281.626071423822,-55.2354554161018,-0.2844625953929243,0.022130022822899248,37.644707,SellCategory.STOP_LOSS: Down 52.5% from entry ($15319 => $7282),51.3,2026-02-23T23:47:35.060492+00:00
Bot_026,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,7281.626071423822,-39.86448198501709,-0.20530208222283802,0.02457828611681944,6.485905,SellCategory.STOP_LOSS: Down 36.1% from entry ($11403 => $7282),57.7,2026-02-23T23:47:35.060540+00:00
Bot_028,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9952.584549939229,7281.626071423822,-31.098764903679527,-0.16015863925394958,0.025974475074620116,2.491487,SellCategory.STOP_LOSS: Down 26.8% from entry ($9953 => $7282),42.1,2026-02-23T23:47:35.060596+00:00
Bot_038,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,7281.626071423822,-39.86448198501709,-0.41060416444567605,0.04915657223363888,6.486006,SellCategory.STOP_LOSS: Down 36.1% from entry ($11403 => $7282),87.4,2026-02-23T23:47:35.060702+00:00
Bot_043,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,7281.626071423822,-55.2354554161018,-0.2844625953929243,0.022130022822899248,37.644928,SellCategory.STOP_LOSS: Down 52.5% from entry ($15319 => $7282),50.7,2026-02-23T23:47:35.060775+00:00
Bot_060,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9952.584549939229,7281.626071423822,-31.098764903679527,-0.32031727850789915,0.05194895014924023,2.491646,SellCategory.STOP_LOSS: Down 26.8% from entry ($9953 => $7282),78.10000000000001,2026-02-23T23:47:35.060916+00:00
Bot_064,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13324.574090277174,7281.626071423822,-48.53528801406478,-0.24995673327243362,0.023197214434873187,8.683753,SellCategory.STOP_LOSS: Down 45.4% from entry ($13325 => $7282),43.3,2026-02-23T23:47:35.060979+00:00
Bot_065,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,7281.626071423822,-55.2354554161018,-0.2844625953929243,0.022130022822899248,37.645095,SellCategory.STOP_LOSS: Down 52.5% from entry ($15319 => $7282),59.7,2026-02-23T23:47:35.061023+00:00
Bot_075,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,7281.626071423822,-48.56238536477465,-0.25009628462858946,0.02319289841354878,8.188299,SellCategory.STOP_LOSS: Down 45.4% from entry ($13332 => $7282),88.5,2026-02-23T23:47:35.061123+00:00
Bot_080,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13312.714094722962,7281.626071423822,-48.48943926744489,-0.24972061222734115,0.023204517147608003,14.392179,SellCategory.STOP_LOSS: Down 45.3% from entry ($13313 => $7282),54.0,2026-02-23T23:47:35.061201+00:00
Bot_084,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,7281.626071423822,-38.533178225499626,-0.19844586786132307,0.02479033398367042,5.96906,SellCategory.STOP_LOSS: Down 34.7% from entry ($11156 => $7282),71.0,2026-02-23T23:47:35.061269+00:00
Bot_091,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,7281.626071423822,-48.56238536477465,-0.25009628462858946,0.02319289841354878,8.188468,SellCategory.STOP_LOSS: Down 45.4% from entry ($13332 => $7282),73.7,2026-02-23T23:47:35.061356+00:00
Bot_096,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,14478.982215369988,7281.626071423822,-52.63856549506465,-0.2710886122995829,0.02254365116599228,14.88401,SellCategory.STOP_LOSS: Down 49.7% from entry ($14479 => $7282),57.9,2026-02-23T23:47:35.061431+00:00
Bot_096,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,7736.549382789613,4493.918834716544,-45.296837832652585,-0.23327871483816082,0.023713029437995026,3.62314,SellCategory.TOKEN_REMOVED: Removed from finalStretch,57.9,2026-02-23T23:47:35.283349+00:00
Bot_006,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,6742.821140659099,-44.31421797842659,-0.22821822258889696,0.023869539507559885,7.41717,SellCategory.STOP_LOSS: Down 40.9% from entry ($11403 => $6743),41.9,2026-02-23T23:47:35.874700+00:00
Bot_051,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,6742.821140659099,-43.08142422518213,-0.221869334759688,0.024065896863102433,6.783687,SellCategory.STOP_LOSS: Down 39.6% from entry ($11156 => $6743),57.4,2026-02-23T23:47:35.875753+00:00
Bot_056,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,6742.821140659099,-52.368518791620055,-0.5393957435536866,0.045173327518958147,9.003181,SellCategory.STOP_LOSS: Down 49.4% from entry ($13332 => $6743),73.9,2026-02-23T23:47:35.875923+00:00
Bot_029,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,6211.10732079543,-47.56981161009057,-0.4899690595839329,0.0467019878479196,7.27158,SellCategory.STOP_LOSS: Down 44.3% from entry ($11156 => $6211),69.8,2026-02-23T23:47:36.363467+00:00
Bot_039,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,6211.10732079543,-48.70539182882658,-0.2508327679184569,0.02317012057984154,7.906345,SellCategory.STOP_LOSS: Down 45.5% from entry ($11403 => $6211),58.2,2026-02-23T23:47:36.364016+00:00
Bot_045,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,6211.10732079543,-56.12456040843754,-0.2890414861034533,0.021988407646284947,9.491456,SellCategory.STOP_LOSS: Down 53.4% from entry ($13332 => $6211),82.5,2026-02-23T23:47:36.364153+00:00
Bot_089,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,5395.633831332176,-54.45351631382119,-0.28043560901617914,0.02225456879331405,9.850761,SellCategory.STOP_LOSS: Down 51.6% from entry ($11156 => $5396),84.0,2026-02-23T23:47:38.942999+00:00
Bot_061,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9952.584549939229,4566.516089448384,-56.790063707749574,-0.2924688280949103,0.021882407378507926,6.786113,SellCategory.STOP_LOSS: Down 54.1% from entry ($9953 => $4567),49.7,2026-02-23T23:47:39.355398+00:00
Bot_054,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9126.54319864057,9126.54319864057,-5.825242718446607,-0.030000000000000027,0.03,0.40849,SellCategory.SECURITY_FAILED: Bundled 36.8% (max 33.0%),48.8,2026-02-23T23:47:57.173827+00:00
Bot_092,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9126.54319864057,9126.54319864057,-5.825242718446607,-0.06000000000000005,0.06,0.409216,SellCategory.SECURITY_FAILED: Bundled 36.8% (max 33.1%),62.099999999999994,2026-02-23T23:47:57.174937+00:00
Bot_034,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6604.480590711136,4609.386502267061,-34.273732944511764,-0.1765097246642356,0.025468771402137044,19.965619,SellCategory.STOP_LOSS: Down 30.2% from entry ($6604 => $4609),59.800000000000004,2026-02-23T23:48:18.224018+00:00
Bot_053,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6604.480590711136,4609.386502267061,-34.273732944511764,-0.1765097246642356,0.025468771402137044,19.965739,SellCategory.STOP_LOSS: Down 30.2% from entry ($6604 => $4609),57.0,2026-02-23T23:48:18.224279+00:00
Bot_094,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6604.480590711136,4609.386502267061,-34.273732944511764,-0.1765097246642356,0.025468771402137044,19.965827,SellCategory.STOP_LOSS: Down 30.2% from entry ($6604 => $4609),41.2,2026-02-23T23:48:18.224601+00:00
Bot_031,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6395.326967352999,4188.06191960191,-38.328451888071164,-0.1973915272235665,0.024822942457003096,5.144075,SellCategory.STOP_LOSS: Down 34.5% from entry ($6395 => $4188),79.9,2026-02-23T23:48:20.143044+00:00
Bot_006,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6604.480590711136,4093.5593000022504,-41.629027718310276,-0.21438949274929792,0.024297232183011407,22.569982,SellCategory.TOKEN_REMOVED: Removed from finalStretch,41.9,2026-02-23T23:48:20.828177+00:00
Bot_025,co2,ENAbxs4nvrnJVD8RdQjt2FqTRtZqfgGhAoET2jQFpump,6604.480590711136,4093.5593000022504,-41.629027718310276,-0.21438949274929792,0.024297232183011407,22.570012,SellCategory.TOKEN_REMOVED: Removed from finalStretch,51.3,2026-02-23T23:48:20.828318+00:00
Bot_074,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,7639.027532372268,9677.090705199314,19.30022041309619,0.09939613512744538,0.03400194232352924,2.603291,SellCategory.TAKE_PROFIT: Up 26.7% from entry ($7639 => $9677),75.2,2026-02-23T23:48:29.424321+00:00
Bot_082,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,7772.360765634525,10924.204027302903,32.36445062022676,0.16667692069416784,0.03608279136167529,3.709973,SellCategory.TAKE_PROFIT: Up 40.6% from entry ($7772 => $10924),82.7,2026-02-23T23:48:29.738330+00:00
Bot_098,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,7743.15115796669,11662.548593118769,41.84376110380549,0.21549536968459826,0.03759264029952365,7.800194,SellCategory.SECURITY_FAILED: Bundled 41.4% (max 37.3%),65.5,2026-02-23T23:48:30.331278+00:00
Bot_016,GOD,2KiRMYisjkZ7fhwnXyTvou8CdYiqwriFgsupQ9VGpump,10354.598482752695,9102.798175978209,-17.210328316099027,-0.08863319082790999,0.028186602345528555,0.831828,SellCategory.STOP_LOSS: Down 12.1% from entry ($10355 => $9103),50.2,2026-02-23T23:48:33.741751+00:00
Bot_028,GOD,2KiRMYisjkZ7fhwnXyTvou8CdYiqwriFgsupQ9VGpump,10354.598482752695,9102.798175978209,-17.210328316099027,-0.08863319082790999,0.028186602345528555,0.83193,SellCategory.STOP_LOSS: Down 12.1% from entry ($10355 => $9103),42.1,2026-02-23T23:48:33.741918+00:00
Bot_037,GOD,2KiRMYisjkZ7fhwnXyTvou8CdYiqwriFgsupQ9VGpump,10354.598482752695,9102.798175978209,-17.210328316099027,-0.17726638165581998,0.05637320469105711,0.831964,SellCategory.STOP_LOSS: Down 12.1% from entry ($10355 => $9103),48.6,2026-02-23T23:48:33.742009+00:00
Bot_011,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,9677.090705199314,12150.986755627699,18.250026098007876,0.09398763440474056,0.03383466910530125,5.224685,SellCategory.SECURITY_FAILED: Bundled 43.5% (max 43.2%),48.8,2026-02-23T23:48:34.648468+00:00
Bot_075,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,7599.277220162813,4074.3593976368375,-49.50811817573823,-0.2549668086050519,0.023042263651390147,3.480962,SellCategory.STOP_LOSS: Down 46.4% from entry ($7599 => $4074),65.4,2026-02-23T23:48:36.631013+00:00
Bot_089,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,7599.277220162813,4007.3903480503577,-50.338038417817245,-0.2592408978517588,0.022910075324172406,4.385517,SellCategory.TOKEN_REMOVED: Removed from finalStretch,73.8,2026-02-23T23:48:37.535636+00:00
Bot_010,GOD,2KiRMYisjkZ7fhwnXyTvou8CdYiqwriFgsupQ9VGpump,10354.598482752695,7337.016928549043,-33.27005488743323,-0.17134078267028113,0.02562863558751708,7.248883,SellCategory.STOP_LOSS: Down 29.1% from entry ($10355 => $7337),43.800000000000004,2026-02-23T23:48:40.158772+00:00
