         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.137    0.011 api_client.py:216(get_holder_data)
      370    0.000    0.000    0.137    0.000 dataclasses.py:1240(dataclass)
      370    0.001    0.000    0.136    0.000 dataclasses.py:1257(wrap)
      370    0.010    0.000    0.136    0.000 dataclasses.py:921(_process_class)
    16915    0.133    0.000    0.134    0.000 {built-in method posix.read}
     8745    0.023    0.000    0.133    0.000 encoder.py:183(encode)
     8731    0.032    0.000    0.132    0.000 _sync_base.py:97(_sync)
    33624    0.048    0.000    0.128    0.000 streams.py:521(_wait_for_data)
56490/56482    0.039    0.000    0.127    0.000 coroutines.py:32(iscoroutine)
   148441    0.125    0.000    0.126    0.000 traceback.py:327(walk_stack)
  1605608    0.122    0.000    0.122    0.000 virtual_bot.py:46(<lambda>)
   102162    0.088    0.000    0.121    0.000 selector_events.py:750(_process_events)
    51892    0.060    0.000    0.121    0.000 baseline_strategy_main.py:53(should_sell)
   111116    0.078    0.000    0.115    0.000 events.py:36(__init__)
   104640    0.071    0.000    0.114    0.000 base_events.py:734(time)
     3447    0.008    0.000    0.112    0.000 base_events.py:838(call_soon_threadsafe)
        1    0.000    0.000    0.108    0.108 abstractdisplay.py:71(start)
     8732    0.019    0.000    0.107    0.000 pathlib.py:276(__getitem__)
97147/17343    0.076    0.000    0.106    0.000 _connection.py:530(_replace_guids_with_channels)
    17477    0.033    0.000    0.105    0.000 pathlib.py:1159(__init__)
     8746    0.105    0.000    0.105    0.000 encoder.py:205(iterencode)
17783/8732    0.039    0.000    0.100    0.000 _connection.py:509(_replace_channels_with_guids)
        1    0.000    0.000    0.099    0.099 page.py:1(<module>)
      855    0.003    0.000    0.098    0.000 shadow_recorder.py:51(_get_connection)
   176682    0.065    0.000    0.097    0.000 futures.py:299(_get_loop)
    36870    0.062    0.000    0.096    0.000 base_events.py:447(create_future)
      855    0.072    0.000    0.094    0.000 {built-in method _sqlite3.connect}
        4    0.000    0.000    0.094    0.024 remote_connection.py:1(<module>)
        8    0.000    0.000    0.094    0.012 subprocess.py:1259(wait)
        8    0.000    0.000    0.094    0.012 subprocess.py:2021(_wait)
        7    0.094    0.013    0.094    0.013 {built-in method posix.waitpid}
        6    0.000    0.000    0.094    0.016 subprocess.py:2008(_try_wait)
2479/2468    0.025    0.000    0.094    0.000 {built-in method builtins.__build_class__}
     3447    0.005    0.000    0.089    0.000 selector_events.py:141(_write_to_self)
45818/16691    0.065    0.000    0.088    0.000 _impl_to_api_mapping.py:40(from_maybe_impl)
     6500    0.003    0.000    0.087    0.000 virtual_bot.py:64(process_new_token)
        1    0.000    0.000    0.087    0.087 shadow_fleet_manager.py:61(initialize)
     3432    0.009    0.000    0.087    0.000 tasks.py:670(ensure_future)
        1    0.000    0.000    0.086    0.086 shadow_fleet_lifecycle_mixin.py:28(_spawn_fleet)
    17362    0.051    0.000    0.086    0.000 __init__.py:244(detect_encoding)
    48448    0.086    0.000    0.086    0.000 {method 'match' of 're.Pattern' objects}
